Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
000004426.1078159	AGP Mercola Food, V FerSprD6	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S114.141215	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V17, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Ant.Solo.N.cont.C.414529	control soil, soil	QDB_0776	ENVO:00001998	soil	0.540961427298	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:02000059	surface soil	ENVO:00000894	Polar biome
000004409.1078123	AGP Mercola Food, NV FerSprD7	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004398.1078098	AGP Mercola Food, NV VegSprD7	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
M12.533968	Intertidal microbes 16s for 2009 and 2022, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
EB007.386040	Bacterial communities associated with the lichen symbiosis, bacteria in lichen thalli	QDB_0929	ENVO:00005757	bacteria enriched soil	0.123593456748	4	0.0908687678472	ENVO:00001995	ENVO:00000886	endolithic habitat	ENVO:00001995	rock	ENVO:01000155	organic material
903.Si.8.345483	MyD88-dependent signaling modulates virus susceptibility and gut microbial ecology, mouse gut	QDB_0802	ENVO:01000007	microbial feature	0.133974493102	4	0.0908687678472	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
000004506.1078132	AGP Mercola Food, FVK2 EMP D2	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
M41.533984	Intertidal microbes 16s for 2009 and 2051, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
S32.141191	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V92, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S184.141322	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V72, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Puhimau.mat.3.677927	Kilauea geothermal soils and biofilms, Hawaii Volcanoes National Park	QDB_0895	ENVO:00000367	national park	0.17199177691	7	0.549325136652	ENVO:00000373	ENVO:00000446	terrestrial biome	ENVO:00000373	geothermal field	ENVO:00002034	biofilm
000004403.1078185	AGP Mercola Food, V VegSprD3	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
P.Abraao.SB.414875	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	4	0.0908687678472	ENVO:00000016	ENVO:00002150	coastal water	ENVO:00000016	sea
S51.141267	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V109, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
NA.18.T4.830887	Ercolini whole grain feces, Fecal sample taken from individual NA.18	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
000004448.1078164	AGP Mercola Food, FVK2 EMP D8	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
PD2Gx1x121107.141852	The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice., human gut	QDB_0459	ID:0000058	skin	0.139646986474	1	0.00206932100159	ENVO:00009003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
O5.836249	Architectural design influences the diversity and structure of the built environment microbiome, air	QDB_1345	ID:0000000	animal microbiome	0.148558010705	5	0.2001811416	ENVO:00002005	ENVO:00000856	city	ENVO:00002005	air	ENVO:00000073	building
M22.533954	Intertidal microbes 16s for 2009 and 2032, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
UBD22.660753	Kelley nicu contamination, Swab was taken from NICU baby open bedside diaper counter machinE UCSD	QDB_0386	ID:0000020	mouth	0.0983561946206	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
fut2negative.day56.38.PSdef.1004887	Kashyap fut2 16S, mouse gut	QDB_1452	ID:0000002	gut	0.220133709753	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
PO7.2.T8.830881	Ercolini whole grain feces, Fecal sample taken from individual PO7.2	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S171.141307	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V63, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M32.533975	Intertidal microbes 16s for 2009 and 2042, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	5	0.2001811416	ENVO:01000155	ENVO:01000155	organic material	ENVO:00002032	organism-associated habitat
M30.533965	Intertidal microbes 16s for 2009 and 2040, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
PO5.8.T0.830863	Ercolini whole grain feces, Fecal sample taken from individual PO5.8	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PLRP8.41.589045	Pavilion Lake Research Project, 41	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
S55.141275	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V112, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
A.C.2.1.414780	Geochemical landscapes, soil	QDB_1036	ENVO:00001998	soil	0.276132621425	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:00000894	Polar biome	ENVO:00000134	permafrost
PO3.2.T0.830811	Ercolini whole grain feces, Fecal sample taken from individual PO3.2	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S57.141254	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V114, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
F33Tong.140358	Bacterial Community Variation in Human Body Habitats Across Space and Time, tongue	QDB_0449	ENVO:00002036	habitat	0.138254581456	4	0.0908687678472	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
000004499.1078192	AGP Mercola Food, FVP EMP D2	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004466.1078198	AGP Mercola Food, Reg H2O Sunflower	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004486.1078174	AGP Mercola Food, FVK2 DOC D7	QDB_2013	ENVO:00002002	food product	0.121160754113	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
MBR13.660762	Kelley nicu contamination, Swab was taken from NICU Baby open bedside drawer handle beneath bed MB	QDB_0386	ID:0000020	mouth	0.0934674259509	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
MR3.733833	Metolius River, ponderosa pine, rep 3, soil	QDB_1038	ENVO:00000109	woodland	0.133332252779	2	0.0118310790194	ENVO:00002992	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
M25.533992	Intertidal microbes 16s for 2009 and 2035, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
PO5.2.T8.830816	Ercolini whole grain feces, Fecal sample taken from individual PO5.2	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
WPC.filt..660385	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, hypersaline lake	QDB_1580	ENVO:00000019	saline lake	0.185196934789	4	0.0908687678472	ENVO:00000447	ENVO:00000447	marine biome	ENVO:00002012	hypersaline water	ENVO:00002024	haline habitat
S104.141153	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V6, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UQ11108.1.6.591033	New Zealand Terrestrial Antarctic Biocomplexity survey (NZTABS), soil	QDB_1035	ENVO:00000446	terrestrial biome	0.121172248538	2	0.0118310790194	ENVO:00002997	ENVO:00002997	Cold-winter (continental) deserts and semideserts	ENVO:01000017	sand	ENVO:00000382	lake shore
M12Hair.140590	Bacterial Community Variation in Human Body Habitats Across Space and Time, hair on head	QDB_0449	ENVO:00002036	habitat	0.128449860549	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
IDF2.REF.MIN.414827	Long Term Soil Productivity project, soil	QDB_1037	ENVO:00001998	soil	0.229311169101	0	0.000604878446618	ENVO:00001998	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil	ENVO:00002248	luvisol
Horse1.284419	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, horse gut	QDB_0626	ID:0000000	animal microbiome	0.122156019559	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
000004405.1078136	AGP Mercola Food, NV VegSprD6	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
M36.141240	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V159, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M17.533963	Intertidal microbes 16s for 2009 and 2027, epibiont	QDB_0662	ENVO:00000090	coastal plain	0.267021894957	6	0.365683897177	ENVO:00002032	ENVO:00002032	organism-associated habitat	ENVO:00002034	biofilm
S106.141176	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V8, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S115.141160	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V18, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
2566.ceca.633378	Pregnant women sampled in 1st and 3rd trimesters, their children and a germ free mouse exp., mouse gut	QDB_0867	ENVO:00000005	first-order administrative region	0.0886369756068	8	0.708292629533	ENVO:00006776	ENVO:01000155	organic material	ENVO:00006776	animal-associated habitat
HJ1.141718	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00002261	forest soil	ENVO:00001998	soil
S232.279898	Vaginal microbiome of reproductive age women, human vagina	QDB_0509	ID:0000000	animal microbiome	0.174062857694	3	0.0342097930214	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
M35.533969	Intertidal microbes 16s for 2009 and 2045, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
F5Mose396.141135	Forensic identification using skin bacterial communities hand mouse comparisonForensic identification using skin bacterial communities hand mouse comparison, computer mouse	QDB_0393	ID:0000041	skin	0.0953679743475	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
NA.06.T0.830853	Ercolini whole grain feces, Fecal sample taken from individual NA.06	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
000004497.1078144	AGP Mercola Food, FVK2 EMP D1	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S54.141262	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V111, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M44.533951	Intertidal microbes 16s for 2009 and 2054, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
sample.7.08DO5M.19.664702	Quality-filtering vastly improves diversity estimates from Illumina amplicon sequencing, 26 wine-associated microbial communities	QDB_1690	ENVO:01000007	microbial feature	0.100094350486	4	0.0908687678472	ENVO:00002031	ENVO:00000446	terrestrial biome	ENVO:00002031	anthropogenic habitat	ENVO:01000014	wine
PolarBr2.284387	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, polar bear gut	QDB_0626	ID:0000000	animal microbiome	0.111658070389	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
PLRP5.55.589039	Pavilion Lake Research Project, 55	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
21.603101	Co habiting amphibian species harbor unique skin bacterial communities in wild populations, frog organismal	QDB_0668	ENVO:00000463	harbor	0.078333284736	4	0.0908687678472	ENVO:00000033	ENVO:02000040	mucus	ENVO:00000882	Montane grasslands and shrubland biome	ENVO:00000033	pond
000004459.1078130	AGP Mercola Food, Vortex H2O Sunflower	QDB_2013	ENVO:00002002	food product	0.116295958793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S81.141236	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V136, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M41Nose.140779	Bacterial Community Variation in Human Body Habitats Across Space and Time, external nose	QDB_0449	ENVO:00002036	habitat	0.123753734126	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
F30.141328	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V168, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Wetland.soil.686746	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:00002991	Subtropical and temperate rainforests or woodlands	ENVO:00000233	swamp
S25.141294	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V85, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004440.1078163	AGP Mercola Food, Cucumber	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
PR.14.446139	An investigation into drought affects on microbial community composition, soil	QDB_1005	ENVO:01000007	microbial feature	0.172872830814	5	0.2001811416	ENVO:00001998	ENVO:00001998	soil	ENVO:00002993	Tropical humid forests
I.Fundao.HB.488596	Rio de aneiro Coastline, marine	QDB_1039	ENVO:00000303	coast	0.232880634976	2	0.0118310790194	ENVO:00000032	ENVO:00000447	marine biome	ENVO:00000032	bay	ENVO:00002007	sediment
M39.533953	Intertidal microbes 16s for 2009 and 2049, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
Tabonuco.20C.BC.TP1.01.591004	LDRD Biological Carbon Sequestration, soil	QDB_1043	ENVO:00001998	soil	0.162484296953	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:00002993	Tropical humid forests	ENVO:00005778	tropical soil
PM6x21108.142454	The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice., mouse gut microbiome	QDB_0456	ID:0000058	skin	0.126892782893	3	0.0342097930214	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
F14Ewax.140371	Bacterial Community Variation in Human Body Habitats Across Space and Time, outer ear canal/earwax	QDB_0449	ENVO:00002036	habitat	0.106310628408	4	0.0908687678472	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:02000028	ear wax
Rcul.7.1078773	Identification of Household Bacterial Community and Analysis of Species Shared with Human Microbiome, bacterial communities that reside in the vegetable compartment of the refrigerator and on the seat of the toilet, which is recognized as highly colonized by microorganisms, in ten houses using high-throughput sequencing.	QDB_2025	ID:0000000	animal microbiome	0.0578219113786	5	0.2001811416	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00000856	city	ENVO:00002008	dust
outsidemouthT7.U5.1085342	Mouse Decomp Forensics 2011, mouse skin	QDB_1996	ID:0000041	skin	0.206476341945	2	0.0118310790194	ENVO:00009002	ENVO:00000446	terrestrial biome	ENVO:00009002	mammalia-associated habitat	ENVO:02000037	sebum
Antibioticday1.10.76.984462	Antibioticday1 Sample, Treatment 10, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
P20.A.filt..660403	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, hypersaline lake	QDB_1580	ENVO:00000019	saline lake	0.185196934789	2	0.0118310790194	ENVO:00000892	ENVO:00002012	hypersaline water	ENVO:00000892	Small lake biome	ENVO:00002024	haline habitat
S169.141316	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V60, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UQ841.591040	New Zealand Terrestrial Antarctic Biocomplexity survey (NZTABS), soil	QDB_1035	ENVO:00000446	terrestrial biome	0.121172248538	2	0.0118310790194	ENVO:00002997	ENVO:00002997	Cold-winter (continental) deserts and semideserts	ENVO:00000278	dry stream	ENVO:01000017	sand
JB1.B11.826396	Bird Egg Shells from Spain, organismal	QDB_1632	ENVO:02000056	egg product	0.158206047708	5	0.2001811416	ENVO:00002006	ENVO:00002030	aquatic biome	ENVO:00005791	sterile water	ENVO:00002006	water
WPC.sed.D1.660400	Saline environments that may harbor novel lignocellulolytic activities tolerant of ionic liquids, sediment	QDB_1580	ID:0000078	estuary sediment	0.22567645147	4	0.0908687678472	ENVO:00000892	ENVO:00002012	hypersaline water	ENVO:00000892	Small lake biome	ENVO:00002024	haline habitat
S23.141209	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V83, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
L.Vermelha.SC.2.3.488581	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	1	0.00206932100159	ENVO:00002007	ENVO:00000447	marine biome	ENVO:00000038	lagoon	ENVO:00002007	sediment
PO3.3.T0.830836	Ercolini whole grain feces, Fecal sample taken from individual PO3.3	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
2206BCDNA.486536	Marine heterotrophic bacterial diversity and activity at time series station L4, western English Channel between 2009 and 2010, ocean surface water	QDB_1240	ENVO:00011764	ocean time series station	0.260046883901	6	0.365683897177	ENVO:00002030	ENVO:00002030	aquatic biome	ENVO:00002150	coastal water
UIK27.660759	Kelley nicu contamination, Swab was taken from NICU incubator computer keyboard UCSD	QDB_0386	ID:0000020	mouth	0.121880677036	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
M11Glns.140664	Bacterial Community Variation in Human Body Habitats Across Space and Time, glans penis	QDB_0449	ENVO:00002036	habitat	0.112181286011	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M42.533985	Intertidal microbes 16s for 2009 and 2052, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
P.Abraao.AB..414861	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	1	0.00206932100159	ENVO:00002007	ENVO:00000092	sea beach	ENVO:00002007	sediment	ENVO:00000016	sea
PO6.3.T8.830834	Ercolini whole grain feces, Fecal sample taken from individual PO6.3	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
PO6.5.T8.830841	Ercolini whole grain feces, Fecal sample taken from individual PO6.5	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
M42Plml.140513	Bacterial Community Variation in Human Body Habitats Across Space and Time, left palm	QDB_0449	ENVO:00002036	habitat	0.125933830407	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Puhimau.soil.1.677926	Kilauea geothermal soils and biofilms, Hawaii Volcanoes National Park	QDB_0895	ENVO:00000367	national park	0.17199177691	6	0.365683897177	ENVO:00001998	ENVO:00000446	terrestrial biome	ENVO:00001998	soil	ENVO:00000373	geothermal field
PO5.5.T8.830868	Ercolini whole grain feces, Fecal sample taken from individual PO5.5	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
MockHiSeq.even.673514	Quality-filtering vastly improves diversity estimates from Illumina amplicon sequencing, unclassified	QDB_1687	ID:0000070	Sequencing batch reactor	0.0772315868795	5	0.2001811416	ENVO:00002031	ENVO:00000446	terrestrial biome	ENVO:02000008	cell culture	ENVO:00002031	anthropogenic habitat
S134.141292	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V33, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
CH1.733835	Cascade Head, old growth western hemlock, rep 1, soil	QDB_1038	ENVO:00000040	waterfall	0.16162973285	5	0.2001811416	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
M1.533993	Intertidal microbes 16s for 2009 and 2010, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	0	0.000604878446618	ENVO:00000090	ENVO:00000447	marine biome	ENVO:00000090	coastal plain	ENVO:00002034	biofilm
F22.141192	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V165, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
DL2.139986	Soil bacterial diversity in the Arctic is not fundamentally different from that found in other biomes, soil	QDB_0104	ENVO:00000428	biome	0.193044267837	3	0.0342097930214	ENVO:00000112	ENVO:00002995	Tundra communities and barren Arctic deserts	ENVO:00001998	soil	ENVO:00000112	tundra
M43.533980	Intertidal microbes 16s for 2009 and 2053, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00001995	rock
000004471.1078194	AGP Mercola Food, DM Leftover Batch	QDB_2013	ID:0000070	Sequencing batch reactor	0.121979087772	5	0.2001811416	ENVO:00000077	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
NZFACE.R5.Ryegrass.604741	New Zealand Free Air Carbon dioxide Enrichment, AgResearch, soil	QDB_0659	ENVO:00003082	enriched soil	0.237623945393	1	0.00206932100159	ENVO:00001998	ENVO:00000446	terrestrial biome	ENVO:00001998	soil	ENVO:00000266	pasture
PM8xCx30308.142526	The effect of diet on the human gut microbiome: a metagenomic analysis in humanized gnotobiotic mice., mouse gut microbiome	QDB_0456	ID:0000058	skin	0.126892782893	3	0.0342097930214	ENVO:00006776	ENVO:00006776	animal-associated habitat	ID:0000002	gut
S7.141171	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V125, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
EM144.441736	Composition, variability, and temporal stability of the intestinal microbiota of the elderly., human gut	QDB_0486	ID:0000002	gut	0.126839772815	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
